#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2E38D
#Date Time: 2025-04-07 17:06:28.436
#Sample rate: 400000Hz
#Samples: 4096

Time (s),Bus,DIO  6,DIO  5,DIO  4,DIO  3,DIO  2,DIO  1,DIO  0
-0.0051175,0,0,0,0,0,0,0,0
-0.005115,0,0,0,0,0,0,0,0
-0.0051125,0,0,0,0,0,0,0,0
-0.00511,0,0,0,0,0,0,0,0
-0.0051075,0,0,0,0,0,0,0,0
-0.005105,0,0,0,0,0,0,0,0
-0.0051025,0,0,0,0,0,0,0,0
-0.0051,0,0,0,0,0,0,0,0
-0.0050975,0,0,0,0,0,0,0,0
-0.005095,0,0,0,0,0,0,0,0
-0.0050925,0,0,0,0,0,0,0,0
-0.00509,0,0,0,0,0,0,0,0
-0.0050875,0,0,0,0,0,0,0,0
-0.005085,0,0,0,0,0,0,0,0
-0.0050825,0,0,0,0,0,0,0,0
-0.00508,0,0,0,0,0,0,0,0
-0.0050775,0,0,0,0,0,0,0,0
-0.005075,0,0,0,0,0,0,0,0
-0.0050725,0,0,0,0,0,0,0,0
-0.00507,0,0,0,0,0,0,0,0
-0.0050675,0,0,0,0,0,0,0,0
-0.005065,0,0,0,0,0,0,0,0
-0.0050625,0,0,0,0,0,0,0,0
-0.00506,0,0,0,0,0,0,0,0
-0.0050575,0,0,0,0,0,0,0,0
-0.005055,0,0,0,0,0,0,0,0
-0.0050525,0,0,0,0,0,0,0,0
-0.00505,0,0,0,0,0,0,0,0
-0.0050475,0,0,0,0,0,0,0,0
-0.005045,0,0,0,0,0,0,0,0
-0.0050425,0,0,0,0,0,0,0,0
-0.00504,0,0,0,0,0,0,0,0
-0.0050375,0,0,0,0,0,0,0,0
-0.005035,0,0,0,0,0,0,0,0
-0.0050325,0,0,0,0,0,0,0,0
-0.00503,0,0,0,0,0,0,0,0
-0.0050275,0,0,0,0,0,0,0,0
-0.005025,0,0,0,0,0,0,0,0
-0.0050225,0,0,0,0,0,0,0,0
-0.00502,0,0,0,0,0,0,0,0
-0.0050175,0,0,0,0,0,0,0,0
-0.005015,0,0,0,0,0,0,0,0
-0.0050125,0,0,0,0,0,0,0,0
-0.00501,0,0,0,0,0,0,0,0
-0.0050075,0,0,0,0,0,0,0,0
-0.005005,0,0,0,0,0,0,0,0
-0.0050025,0,0,0,0,0,0,0,0
-0.005,0,0,0,0,0,0,0,0
-0.0049975,0,0,0,0,0,0,0,0
-0.004995,0,0,0,0,0,0,0,0
-0.0049925,0,0,0,0,0,0,0,0
-0.00499,0,0,0,0,0,0,0,0
-0.0049875,0,0,0,0,0,0,0,0
-0.004985,0,0,0,0,0,0,0,0
-0.0049825,0,0,0,0,0,0,0,0
-0.00498,0,0,0,0,0,0,0,0
-0.0049775,0,0,0,0,0,0,0,0
-0.004975,0,0,0,0,0,0,0,0
-0.0049725,0,0,0,0,0,0,0,0
-0.00497,0,0,0,0,0,0,0,0
-0.0049675,0,0,0,0,0,0,0,0
-0.004965,0,0,0,0,0,0,0,0
-0.0049625,0,0,0,0,0,0,0,0
-0.00496,0,0,0,0,0,0,0,0
-0.0049575,0,0,0,0,0,0,0,0
-0.004955,0,0,0,0,0,0,0,0
-0.0049525,0,0,0,0,0,0,0,0
-0.00495,0,0,0,0,0,0,0,0
-0.0049475,0,0,0,0,0,0,0,0
-0.004945,1,0,0,0,0,0,0,1
-0.0049425,1,0,0,0,0,0,0,1
-0.00494,1,0,0,0,0,0,0,1
-0.0049375,1,0,0,0,0,0,0,1
-0.004935,1,0,0,0,0,0,0,1
-0.0049325,1,0,0,0,0,0,0,1
-0.00493,1,0,0,0,0,0,0,1
-0.0049275,1,0,0,0,0,0,0,1
-0.004925,1,0,0,0,0,0,0,1
-0.0049225,1,0,0,0,0,0,0,1
-0.00492,1,0,0,0,0,0,0,1
-0.0049175,1,0,0,0,0,0,0,1
-0.004915,1,0,0,0,0,0,0,1
-0.0049125,1,0,0,0,0,0,0,1
-0.00491,1,0,0,0,0,0,0,1
-0.0049075,1,0,0,0,0,0,0,1
-0.004905,1,0,0,0,0,0,0,1
-0.0049025,1,0,0,0,0,0,0,1
-0.0049,1,0,0,0,0,0,0,1
-0.0048975,3,0,0,0,0,0,1,1
-0.004895,3,0,0,0,0,0,1,1
-0.0048925,3,0,0,0,0,0,1,1
-0.00489,3,0,0,0,0,0,1,1
-0.0048875,3,0,0,0,0,0,1,1
-0.004885,3,0,0,0,0,0,1,1
-0.0048825,3,0,0,0,0,0,1,1
-0.00488,3,0,0,0,0,0,1,1
-0.0048775,3,0,0,0,0,0,1,1
-0.004875,3,0,0,0,0,0,1,1
-0.0048725,3,0,0,0,0,0,1,1
-0.00487,3,0,0,0,0,0,1,1
-0.0048675,3,0,0,0,0,0,1,1
-0.004865,3,0,0,0,0,0,1,1
-0.0048625,3,0,0,0,0,0,1,1
-0.00486,3,0,0,0,0,0,1,1
-0.0048575,3,0,0,0,0,0,1,1
-0.004855,3,0,0,0,0,0,1,1
-0.0048525,3,0,0,0,0,0,1,1
-0.00485,3,0,0,0,0,0,1,1
-0.0048475,7,0,0,0,0,1,1,1
-0.004845,7,0,0,0,0,1,1,1
-0.0048425,7,0,0,0,0,1,1,1
-0.00484,7,0,0,0,0,1,1,1
-0.0048375,7,0,0,0,0,1,1,1
-0.004835,7,0,0,0,0,1,1,1
-0.0048325,7,0,0,0,0,1,1,1
-0.00483,7,0,0,0,0,1,1,1
-0.0048275,7,0,0,0,0,1,1,1
-0.004825,7,0,0,0,0,1,1,1
-0.0048225,7,0,0,0,0,1,1,1
-0.00482,7,0,0,0,0,1,1,1
-0.0048175,7,0,0,0,0,1,1,1
-0.004815,7,0,0,0,0,1,1,1
-0.0048125,7,0,0,0,0,1,1,1
-0.00481,7,0,0,0,0,1,1,1
-0.0048075,7,0,0,0,0,1,1,1
-0.004805,7,0,0,0,0,1,1,1
-0.0048025,7,0,0,0,0,1,1,1
-0.0048,7,0,0,0,0,1,1,1
-0.0047975,15,0,0,0,1,1,1,1
-0.004795,15,0,0,0,1,1,1,1
-0.0047925,15,0,0,0,1,1,1,1
-0.00479,15,0,0,0,1,1,1,1
-0.0047875,15,0,0,0,1,1,1,1
-0.004785,15,0,0,0,1,1,1,1
-0.0047825,15,0,0,0,1,1,1,1
-0.00478,15,0,0,0,1,1,1,1
-0.0047775,15,0,0,0,1,1,1,1
-0.004775,15,0,0,0,1,1,1,1
-0.0047725,15,0,0,0,1,1,1,1
-0.00477,15,0,0,0,1,1,1,1
-0.0047675,15,0,0,0,1,1,1,1
-0.004765,15,0,0,0,1,1,1,1
-0.0047625,15,0,0,0,1,1,1,1
-0.00476,15,0,0,0,1,1,1,1
-0.0047575,15,0,0,0,1,1,1,1
-0.004755,15,0,0,0,1,1,1,1
-0.0047525,15,0,0,0,1,1,1,1
-0.00475,15,0,0,0,1,1,1,1
-0.0047475,31,0,0,1,1,1,1,1
-0.004745,31,0,0,1,1,1,1,1
-0.0047425,31,0,0,1,1,1,1,1
-0.00474,31,0,0,1,1,1,1,1
-0.0047375,31,0,0,1,1,1,1,1
-0.004735,31,0,0,1,1,1,1,1
-0.0047325,31,0,0,1,1,1,1,1
-0.00473,31,0,0,1,1,1,1,1
-0.0047275,31,0,0,1,1,1,1,1
-0.004725,31,0,0,1,1,1,1,1
-0.0047225,31,0,0,1,1,1,1,1
-0.00472,31,0,0,1,1,1,1,1
-0.0047175,31,0,0,1,1,1,1,1
-0.004715,31,0,0,1,1,1,1,1
-0.0047125,31,0,0,1,1,1,1,1
-0.00471,31,0,0,1,1,1,1,1
-0.0047075,31,0,0,1,1,1,1,1
-0.004705,31,0,0,1,1,1,1,1
-0.0047025,31,0,0,1,1,1,1,1
-0.0047,31,0,0,1,1,1,1,1
-0.0046975,63,0,1,1,1,1,1,1
-0.004695,63,0,1,1,1,1,1,1
